Cities,Latitude,Longitude,Temperature,Humidity (%),Cloudiness,Wind Speed
le port,42.87,1.37,39.99,69.0,20.0,2.21
charlestown,41.38,-71.64,34.75,34.0,1.0,5.82
skegness,53.14,0.34,38.86,86.0,36.0,9.17
empangeni,-28.75,31.9,73.54,79.0,8.0,7.47
belyy yar,53.6,91.39,17.6,72.0,0.0,8.95
jinxiang,35.07,116.31,59.0,33.0,48.0,1.01
fare,-16.7,-151.02,84.2,99.0,48.0,7.02
jiexiu,37.02,111.92,45.91,70.0,92.0,7.25
bakchar,57.02,82.07,17.38,84.0,12.0,4.34
kathu,-27.7,23.05,60.94,92.0,48.0,3.44
poum,41.28,20.71,29.71,77.0,0.0,1.77
olinda,-2.03,-79.75,82.33,79.0,75.0,9.17
northport,33.23,-87.58,61.48,20.0,1.0,8.05
razole,16.48,81.84,80.42,100.0,0.0,7.7
foix,42.97,1.61,41.09,70.0,20.0,9.17
coihaique,-45.58,-72.07,48.2,61.0,0.0,19.46
kahului,20.89,-156.47,74.64,44.0,40.0,13.87
norsup,-16.07,167.38,84.56,84.0,76.0,8.81
galle,29.74,-97.91,62.24,34.0,1.0,4.56
mao,19.55,-71.08,78.85,51.0,40.0,11.41
takaka,-40.86,172.81,73.72,73.0,56.0,5.99
camopi,3.17,-52.33,79.7,62.0,24.0,4.45
platteville,42.73,-90.48,33.53,72.0,90.0,11.41
baykit,61.68,96.39,-5.85,54.0,0.0,2.66
samarai,-10.62,150.67,79.75,100.0,64.0,6.02
rio bonito,-22.71,-42.63,80.02,87.0,75.0,3.36
talnakh,69.49,88.39,-2.43,71.0,80.0,4.68
quelimane,-17.88,36.89,75.79,97.0,36.0,3.22
cangzhou,38.3,116.85,55.54,57.0,48.0,14.41
ankazoabo,-22.29,44.51,70.39,91.0,64.0,2.44
avera,33.19,-82.53,56.46,26.0,1.0,3.36
muchkapskiy,51.85,42.48,32.41,98.0,88.0,3.67
bonthe,7.53,-12.5,80.6,86.0,0.0,4.68
san jose,15.79,120.99,71.83,93.0,80.0,2.66
ahipara,-35.17,173.16,73.99,73.0,56.0,9.71
aquiraz,-3.9,-38.39,81.34,88.0,0.0,3.36
mahina,13.76,-10.85,76.78,35.0,0.0,7.81
champerico,16.38,-93.6,75.2,60.0,75.0,19.46
coari,-4.09,-63.14,77.41,97.0,36.0,3.22
estelle,32.87,-97.01,64.54,22.0,20.0,3.36
kelowna,49.89,-119.5,51.55,57.0,1.0,8.05
college,64.86,-147.8,47.48,42.0,75.0,4.7
ancud,-41.87,-73.83,55.4,71.0,75.0,6.93
santa marta,11.24,-74.21,85.51,58.0,20.0,11.41
fureidis,32.6,34.96,52.63,87.0,20.0,1.12
poya,-21.35,165.16,79.52,95.0,20.0,8.25
atikokan,48.76,-91.62,28.63,67.0,0.0,4.34
padang,-0.92,100.36,75.2,94.0,20.0,2.24
nago,45.88,10.89,49.33,76.0,75.0,4.7
zhoucun,35.48,112.62,45.28,49.0,76.0,2.21
fairbanks,64.84,-147.72,46.99,42.0,75.0,4.7
haguenau,48.82,7.79,37.81,83.0,0.0,8.05
grand gaube,-20.01,57.66,77.0,88.0,40.0,9.71
sambava,-14.27,50.17,81.1,100.0,8.0,9.71
yuxia,34.06,108.63,44.6,81.0,0.0,6.71
altay,47.83,88.13,4.37,62.0,48.0,2.33
lorengau,-2.02,147.27,82.63,99.0,80.0,8.7
comodoro rivadavia,-45.87,-67.48,68.0,28.0,20.0,24.16
jamame,0.07,42.75,77.9,90.0,0.0,8.81
broken hill,-31.97,141.45,75.2,38.0,0.0,9.17
the valley,18.22,-63.06,77.02,69.0,20.0,12.75
douglas,58.28,-134.39,49.19,87.0,90.0,26.4
ussel,45.55,2.31,37.99,90.0,88.0,3.0
sinnamary,5.38,-52.96,78.35,97.0,80.0,11.05
vanderhoof,54.02,-124.02,49.51,56.0,8.0,3.33
touros,-5.2,-35.46,80.6,88.0,20.0,3.36
kavieng,-2.57,150.8,82.4,100.0,44.0,3.67
bathsheba,13.22,-59.52,77.0,83.0,75.0,12.75
kennett,36.24,-90.06,58.66,26.0,1.0,5.82
channel-port aux basques,47.57,-59.14,23.9,85.0,36.0,22.57
chalmette,29.94,-89.96,58.12,51.0,1.0,10.6
morondava,-20.3,44.28,76.15,100.0,88.0,2.21
sao caetano de odivelas,-0.75,-48.02,80.38,96.0,76.0,9.71
latur,18.4,76.56,71.33,34.0,0.0,5.23
ambilobe,-13.19,49.05,70.75,94.0,36.0,2.66
dickinson,46.88,-102.79,35.53,51.0,1.0,6.93
qaqortoq,60.72,-46.03,35.6,80.0,92.0,2.24
zhigansk,66.77,123.37,-10.75,72.0,0.0,7.36
coyaima,3.8,-75.19,77.0,94.0,90.0,3.36
lincoln,53.23,-0.54,39.85,86.0,0.0,9.17
bhawanipatna,19.91,83.17,63.05,98.0,88.0,2.89
